Comment,Designator,Footprint,LCSC Part #
0,R37,0603,
0,R46 R47,1206,
0.1uF,C1 C2 C4 C9 C10 C11 C16 C17 C18 C23 C24 C26 C27,0603,
1M,R2 R10 R26 R27,0603,
1N4148W,CR2,SOD123,
1k,R5 R18 R22 R40,0603,
1nF,C6,0603,
1nF,C8 C34 C35 C36 C37 C38 C39 C40 C41 C42,1206,
1uF,C3 C5 C19,0603,
2.2uH,L3,CY43,
2k,R3,0603,
3.3M,R30 R31 R32 R33,0603,
3k,R35,0603,
5.1k,R17 R44,0603,
10,R11 R12 R14 R29 R51 R52 R53,0603,
10k,R16 R19 R23 R24 R25 R36 R39,0603,
10mH,L1,FNR8065S,
10uF,C7 C13 C20 C21 C22 C25 C28 C29 C30 C31,0603,
20k,R4 R13 R34,0603,
27k,R42,0603,
47k,R15,0603,
100,R43,0603,
100R,R50,ST-4,
100k,R1 R7,0603,
100pF,C12,0603,
150k,R41,0603,
220k,R6,0603,
330,R28,0603,
470,R8 R20 R21 R48,0603,
1206_FUSE6M2SS,F1,1206_FUSE_6M2_SS,
156120RS75300,D1 D2 D5,1206_REV,
AO3400A,Q7 Q8,SOT23-3_CENTERED,
BH-18650-B1BA002,B3,18650,
CP2102N-A01-GQFN28,U4,QFN50P500X500X80-29N,
DNP,C14 C15 C32 C33,0603,
DNP,L2,SDR1005,
DNP,R38 R49,0603,
ES1JFL,CR1,SOD123(AK),
ESP32-WROOM-32D-N8,U3,MODULE_ESP32-WROOM-32D,
FM2113,U2,SOT23-6,
LP28013A,U7,10DFN,
MMBT3904,Q1 Q2 Q4 Q5 Q6,SOT23-3_CENTERED,
NCP18XH103F03RB,R45,0603,
PMBTA45 215,Q3,SOT23-3,
TLC555CDR,U1,SOIC8,
TPS63000DRCR,U6,S-PVSON-N10,
